sample_id,species,genotype_class,check,genotype,tissue,date,plate_pos,plate,batch,run,experimental_group,row,column
PN3_SID262,Zea_mays,ril,no,LANPT16B159,leaf,Sep082026,F10,3,1,2,1,E,4
PN3_SID263,Zea_mays,ril,no,LANPT16B092,leaf,Sep082026,F11,3,1,2,1,H,17
PN3_SID264,Zea_mays,ril,no,LANPT16B211,leaf,Sep082026,F12,3,1,2,1,E,3
PN3_SID265,Zea_mays,ril,no,LANPT16B127,leaf,Sep082026,G01,3,1,2,1,F,6
PN3_SID266,Zea_mays,ril,no,LANPT16B370,leaf,Sep082026,G02,3,1,3,1,B,3
PN3_SID267,Zea_mays,ril,no,LANPT16B028,leaf,Sep082026,G03,3,1,1,2,C,7
PN3_SID268,Zea_mays,ril,no,LANPT16B346,leaf,Sep082026,G04,3,1,2,1,G,1
PN3_SID269,Zea_mays,ril,no,LANPT16B121,leaf,Sep082026,G05,3,1,3,1,B,9
PN3_SID270,Zea_mays,b73,yes,B73_08,leaf,Sep082026,G06,3,1,3,1,A,14
PN3_SID271,Zea_mays,ril,no,LANPT16B232,leaf,Sep082026,G07,3,1,2,1,G,16
PN3_SID272,Zea_mays,ril,no,LANPT16B239,leaf,Sep082026,G08,3,1,2,1,G,14
PN3_SID273,Zea_mays,ril,no,LANPT16B108,leaf,Sep082026,G09,3,1,2,1,F,12
PN3_SID274,Zea_mays,ril,no,LANPT16B244,leaf,Sep082026,G10,3,1,2,1,F,17
PN3_SID275,Zea_mays,ril,no,LANPT16B288,leaf,Sep082026,G11,3,1,2,1,F,16
PN3_SID276,Zea_mays,b73,yes,B73_07,leaf,Sep082026,G12,3,1,2,1,E,17
PN3_SID277,Zea_mays,ril,no,LANPT16B037,leaf,Sep082026,H01,3,1,3,2,H,17
PN3_SID278,Zea_mays,ril,no,LANPT16B001,leaf,Sep082026,H02,3,1,2,1,G,7
PN3_SID279,Zea_mays,ril,no,LANPT16B290,leaf,Sep082026,H03,3,1,2,1,G,2
PN3_SID280,Zea_mays,nil,no,LANPT16BNIL014,leaf,Sep082026,H04,3,1,2,1,F,9
PN3_SID281,Zea_mays,ril,no,LANPT16B367,leaf,Sep082026,H05,3,1,3,1,A,11
PN3_SID282,Zea_mays,ril,no,LANPT16B346,leaf,Sep082026,H06,3,1,3,1,A,4
PN3_SID283,Zea_mays,ril,no,LANPT16B318,leaf,Sep082026,H07,3,1,2,1,E,7
PN3_SID284,Zea_mays,ril,no,LANPT16B034,leaf,Sep082026,H08,3,1,2,1,E,6
PN3_SID285,Zea_mays,ril,no,LANPT16B061,leaf,Sep082026,H09,3,1,2,1,H,11
PN3_SID286,Zea_mays,ril,no,LANPT16B311,leaf,Sep082026,H10,3,1,2,1,H,12
PN3_SID287,Zea_mays,nil,no,LANPT16BNIL007,leaf,Sep082026,H11,3,1,2,1,E,12
PN3_SID288,Zea_mays,ril,no,LANPT16B039,leaf,Sep082026,H12,3,1,2,1,E,1
PN4_SID289,Zea_mays,ril,no,LANPT16B317,leaf,Sep082026,A01,4,1,3,1,G,17
PN4_SID290,Zea_mays,b73,yes,B73_05,leaf,Sep082026,A02,4,1,3,1,H,10
PN4_SID291,Zea_mays,nil,no,LANPT16BNIL063DH,leaf,Sep082026,A03,4,1,3,1,C,4
PN4_SID292,Zea_mays,ril,no,LANPT16B095,leaf,Sep082026,A04,4,1,3,1,C,12
PN4_SID293,Zea_mays,ril,no,LANPT16B072,leaf,Sep082026,A05,4,1,3,1,C,14
PN4_SID294,Zea_mays,ril,no,LANPT16B334,leaf,Sep082026,A06,4,1,3,1,C,13
PN4_SID295,Zea_mays,ril,no,LANPT16B106,leaf,Sep082026,A07,4,1,1,2,A,3
PN4_SID296,Zea_mays,ril,no,LANPT16B330,leaf,Sep082026,A08,4,1,2,2,B,11
PN4_SID297,Zea_mays,ril,no,LANPT16B252,leaf,Sep082026,A09,4,1,1,2,A,5
PN4_SID298,Zea_mays,ril,no,LANPT16B158,leaf,Sep082026,A10,4,1,3,1,D,2
PN4_SID299,Zea_mays,ril,no,LANPT16B223,leaf,Sep082026,A11,4,1,2,2,H,8
PN4_SID300,Zea_mays,ril,no,LANPT16B128,leaf,Sep082026,A12,4,1,3,2,E,13
PN4_SID301,Zea_mays,ril,no,LANPT16B329,leaf,Sep082026,B01,4,1,3,1,C,8
PN4_SID302,Zea_mays,ril,no,LANPT16B209,leaf,Sep082026,B02,4,1,3,1,H,14
PN4_SID303,Zea_mays,ril,no,LANPT16B053,leaf,Sep082026,B03,4,1,3,1,G,16
PN4_SID304,Zea_mays,ril,no,LANPT16B244,leaf,Sep082026,B04,4,1,3,1,D,12
PN4_SID305,Zea_mays,ril,no,LANPT16B033,leaf,Sep082026,B05,4,1,3,1,E,12
PN4_SID306,Zea_mays,ril,no,LANPT16B077,leaf,Sep082026,B06,4,1,3,1,B,12
PN4_SID307,Zea_mays,ril,no,LANPT16B129,leaf,Sep082026,B07,4,1,1,2,A,13
PN4_SID308,Zea_mays,ril,no,LANPT16B054,leaf,Sep082026,B08,4,1,3,1,D,1
PN4_SID309,Zea_mays,nil,no,LANPT16BNIL073DH,leaf,Sep082026,B09,4,1,3,1,D,7
PN4_SID310,Zea_mays,ril,no,LANPT16B364,leaf,Sep082026,B10,4,1,3,1,H,1
PN4_SID311,Zea_mays,nil,no,LANPT16BNIL008,leaf,Sep082026,B11,4,1,3,1,G,7
PN4_SID312,Zea_mays,ril,no,LANPT16B372,leaf,Sep082026,B12,4,1,3,2,D,7
PN4_SID313,Zea_mays,ril,no,LANPT16B036,leaf,Sep082026,C01,4,1,3,1,F,16
PN4_SID314,Zea_mays,ril,no,LANPT16B235,leaf,Sep082026,C02,4,1,3,1,H,15
PN4_SID315,Zea_mays,ril,no,LANPT16B325,leaf,Sep082026,C03,4,1,3,1,F,15
PN4_SID316,Zea_mays,ril,no,LANPT16B017,leaf,Sep082026,C04,4,1,3,1,E,14
PN4_SID317,Zea_mays,ril,no,LANPT16B184,leaf,Sep082026,C05,4,1,3,1,G,10
PN4_SID318,Zea_mays,ril,no,LANPT16B208,leaf,Sep082026,C06,4,1,3,1,D,17
PN4_SID319,Zea_mays,ril,no,LANPT16B366,leaf,Sep082026,C07,4,1,3,2,C,11
PN4_SID320,Zea_mays,ril,no,LANPT16B363,leaf,Sep082026,C08,4,1,3,2,G,13
PN4_SID321,Zea_mays,ril,no,LANPT16B187,leaf,Sep082026,C09,4,1,1,2,B,2
PN4_SID322,Zea_mays,b73,yes,B73_02,leaf,Sep082026,C10,4,1,3,1,G,1
PN4_SID323,Zea_mays,ril,no,LANPT16B323,leaf,Sep082026,C11,4,1,3,2,B,2
PN4_SID324,Zea_mays,ril,no,LANPT16B328,leaf,Sep082026,C12,4,1,3,1,E,1
PN4_SID325,Zea_mays,ril,no,LANPT16B206,leaf,Sep082026,D01,4,1,3,1,C,1
PN4_SID326,Zea_mays,ril,no,LANPT16B316,leaf,Sep082026,D02,4,1,3,1,C,6
PN4_SID327,Zea_mays,ril,no,LANPT16B288,leaf,Sep082026,D03,4,1,3,1,G,13
PN4_SID328,Zea_mays,ril,no,LANPT16B297,leaf,Sep082026,D04,4,1,3,1,D,15
PN4_SID329,Zea_mays,ril,no,LANPT16B344,leaf,Sep082026,D05,4,1,3,1,C,16
PN4_SID330,Zea_mays,b73,yes,B73_11,leaf,Sep082026,D06,4,1,3,1,C,17
PN4_SID331,Zea_mays,NA,no,NA,leaf,Sep082026,D07,NA,NA,NA,NA,NA,NA 
PN4_SID332,Zea_mays,ril,no,LANPT16B304,leaf,Sep082026,D08,4,1,3,1,D,9
PN4_SID333,Zea_mays,ril,no,LANPT16B169,leaf,Sep082026,D09,4,1,3,2,B,12
PN4_SID334,Zea_mays,ril,no,LANPT16B155,leaf,Sep082026,D10,4,1,3,1,E,9
PN4_SID335,Zea_mays,ril,no,LANPT16B367,leaf,Sep082026,D11,4,1,3,1,H,8
PN4_SID336,Zea_mays,ril,no,LANPT16B177,leaf,Sep082026,D12,4,1,3,1,F,2
PN4_SID337,Zea_mays,ril,no,LANPT16B320,leaf,Sep082026,E01,4,1,3,1,C,9
PN4_SID338,Zea_mays,ril,no,LANPT16B247,leaf,Sep082026,E02,4,1,3,1,C,7
PN4_SID339,Zea_mays,b73,yes,B73_06,leaf,Sep082026,E03,4,1,3,1,F,11
PN4_SID340,Zea_mays,ril,no,LANPT16B349,leaf,Sep082026,E04,4,1,3,1,C,10
PN4_SID341,Zea_mays,ril,no,LANPT16B018,leaf,Sep082026,E05,4,1,3,1,D,16
PN4_SID342,Zea_mays,ril,no,LANPT16B307,leaf,Sep082026,E06,4,1,3,1,D,11
PN4_SID343,Zea_mays,ril,no,LANPT16B224,leaf,Sep082026,E07,4,1,2,2,F,6
PN4_SID344,Zea_mays,ril,no,LANPT16B062,leaf,Sep082026,E08,4,1,3,2,F,13
PN4_SID345,Zea_mays,ril,no,LANPT16B086,leaf,Sep082026,E09,4,1,1,2,D,4
PN4_SID346,Zea_mays,ril,no,LANPT16B303,leaf,Sep082026,E10,4,1,3,1,G,6
PN4_SID347,Zea_mays,ril,no,LANPT16B308,leaf,Sep082026,E11,4,1,3,1,G,2
PN4_SID348,Zea_mays,ril,no,LANPT16B310,leaf,Sep082026,E12,4,1,2,2,G,15
PN4_SID349,Zea_mays,ril,no,LANPT16B364,leaf,Sep082026,F01,4,1,3,1,C,5
PN4_SID350,Zea_mays,ril,no,LANPT16B256,leaf,Sep082026,F02,4,1,3,1,E,13
PN4_SID351,Zea_mays,ril,no,LANPT16B057,leaf,Sep082026,F03,4,1,3,1,E,11
PN4_SID352,Zea_mays,ril,no,LANPT16B156,leaf,Sep082026,F04,4,1,3,1,E,16
PN4_SID353,Zea_mays,ril,no,LANPT16B308,leaf,Sep082026,F05,4,1,3,1,H,12
PN4_SID354,Zea_mays,b73,yes,B73_09,leaf,Sep082026,F06,4,1,3,1,B,14
PN4_SID355,Zea_mays,nil,no,LANPT16BNIL071DH,leaf,Sep082026,F07,4,1,3,1,E,8
PN4_SID356,Zea_mays,ril,no,LANPT16B097,leaf,Sep082026,F08,4,1,3,1,D,3
PN4_SID357,Zea_mays,ril,no,LANPT16B304,leaf,Sep082026,F09,4,1,3,1,D,8
PN4_SID358,Zea_mays,ril,no,LANPT16B079,leaf,Sep082026,F10,4,1,2,2,D,6
PN4_SID359,Zea_mays,ril,no,LANPT16B229,leaf,Sep082026,F11,4,1,3,2,F,17
PN4_SID360,Zea_mays,nil,no,LANPT16BNIL066DH,leaf,Sep082026,F12,4,1,3,1,D,6
PN4_SID361,Zea_mays,ril,no,LANPT16B140,leaf,Sep082026,G01,4,1,3,1,F,14
PN4_SID362,Zea_mays,ril,no,LANPT16B089,leaf,Sep082026,G02,4,1,3,1,D,13
PN4_SID363,Zea_mays,ril,no,LANPT16B066,leaf,Sep082026,G03,4,1,3,1,H,13
PN4_SID364,Zea_mays,nil,no,LANPT16BNIL075DH,leaf,Sep082026,G04,4,1,3,1,B,17
PN4_SID365,Zea_mays,ril,no,LANPT16B180,leaf,Sep082026,G05,4,1,3,1,H,17
PN4_SID366,Zea_mays,ril,no,LANPT16B222,leaf,Sep082026,G06,4,1,3,1,C,11
PN4_SID367,Zea_mays,ril,no,LANPT16B250,leaf,Sep082026,G07,4,1,3,1,H,7
PN4_SID368,Zea_mays,ril,no,LANPT16B323,leaf,Sep082026,G08,4,1,3,2,H,14
PN4_SID369,Zea_mays,ril,no,LANPT16B332,leaf,Sep082026,G09,4,1,1,2,C,10
PN4_SID370,Zea_mays,ril,no,LANPT16B236,leaf,Sep082026,G10,4,1,2,2,G,16
PN4_SID371,Zea_mays,nil,no,LANPT16BNIL029,leaf,Sep082026,G11,4,1,3,1,F,1
PN4_SID372,Zea_mays,ril,no,LANPT16B252,leaf,Sep082026,G12,4,1,3,1,D,5
PN4_SID373,Zea_mays,ril,no,LANPT16B153,leaf,Sep082026,H01,4,1,3,1,F,17
PN4_SID374,Zea_mays,ril,no,LANPT16B321,leaf,Sep082026,H02,4,1,3,1,G,15
PN4_SID375,Zea_mays,ril,no,LANPT16B043,leaf,Sep082026,H03,4,1,3,1,H,16
PN4_SID376,Zea_mays,ril,no,LANPT16B008,leaf,Sep082026,H04,4,1,3,1,C,15
PN4_SID377,Zea_mays,nil,no,LANPT16BNIL002,leaf,Sep082026,H05,4,1,3,1,B,16
PN4_SID378,Zea_mays,ril,no,LANPT16B019,leaf,Sep082026,H06,4,1,3,1,B,13
PN4_SID379,Zea_mays,ril,no,LANPT16B358,leaf,Sep082026,H07,4,1,3,1,D,4
PN4_SID380,Zea_mays,ril,no,LANPT16B123,leaf,Sep082026,H08,4,1,1,2,H,9
PN4_SID381,Zea_mays,ril,no,LANPT16B220,leaf,Sep082026,H09,4,1,3,1,F,8
PN4_SID382,Zea_mays,ril,no,LANPT16B306,leaf,Sep082026,H10,4,1,3,1,H,6
PN4_SID383,Zea_mays,ril,no,LANPT16B250,leaf,Sep082026,H11,4,1,3,1,F,7
PN4_SID384,Zea_mays,ril,no,LANPT16B016,leaf,Sep082026,H12,4,1,2,2,C,3
